PeriodKey,PeriodDateEnd,Month,Quarter,Year,Category,SubCategory,Country,Segment,Driver_Score,Driver,Brand,Equity_Score,CBI
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,81,Uses unique/high quality ingredients,Friska Nightly Reboot,83,42
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,74,Brand has nice advertising,Biotiquest Simple Slumber Probiotics,83,76
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,68,Effective/works as advertised,SM Nutrition - Probiotic and Sleep Support,83,54
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,78,Meets my needs,SM Nutrition - Probiotic and Sleep Support,83,54
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,81,Helps to detox,Gaia Herbs Sound Sleep,83,28
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,60,Easily available,Garden of Life Dr Formulated Probiotics Once Daily Men's,82,87
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,62,Brand has nice advertising,Renew Life Men's Care Probiotic,81,76
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,89,Better colon health,Culturelle Women's Healthy Balance,62,88
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,70,Minimise gas,Culturelle Women's Healthy Balance,75,88
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,36,Easily available,Garden of Life Dr Formulated Probiotics Once Daily Restore Sleep,83,66
